Code	FOOD ITEM	REFERENCE PORTION	Reference ESHA	 Quantity 	Measure	 Gram Weight (g) 	 Calories (Kcal) 	 Calories from Fat (Kcal) 	 Calories from SatFat(Kcal) 	 Protein (g) 	 Carbohydrates (g) 	 Total Dietary Fiber (g) 	 Total Soluble Fiber (g) 	 Dietary Fiber (2016) (g) 	 Soluble Fiber (2016)(g) 	 Total Sugars(g) 	 Added Sugar(g) 	 Monosaccharides(g) 	 Disaccharides(g) 	 Other Carbs(g) 	 Fat(g) 	 Saturated Fat(g) 	 Mono Fat(g) 	 Poly Fat(g) 	 Trans Fatty Acid(g) 	 Cholesterol(mg) 	 Water(g) 	 Vitamin A - IU 	 Vitamin A - RAE (mcg) 	 Carotenoid RE (mcg) 	 Retinol RE (mcg) 	 Beta-Carotene(mcg) 	 Vitamin B1 - Thiamin(mg) 	 Vitamin B2 - Riboflavin(mg) 	 Vitamin B3 - Niacin (mg) 	 Vitamin B3 - Niacin Equiv (mg) 	 Vitamin B6 (mg) 	 Vitamin B12(mcg) 	 Biotin(mcg) 	 Vitamin C(mcg) 	 Vitamin D - IU 	 Vitamin D - mcg 	 Vitamin E - Alpha-Toco (mg) 	 Folate(mcg) 	 Folate, DFE (mcg) 	 Vitamin K(mcg) 	 Pantothenic Acid (mg) 	 Calcium(mg) 	 Chromium(mcg) 	 Copper(mg) 	 Fluoride(mg) 	 Iodine(mcg) 	 Iron(mg) 	 Magnesium(mg) 	 Manganese(mg) 	 Molybdenum(mcg) 	 Phosphorus(mg) 	 Potassium(mg) 	 Selenium(mcg) 	 Sodium(mg) 	 Zinc(mg) 	 Omega 3 Fatty Acid(g) 	 Omega 6 Fatty Acid(g) 	 Alcohol(g) 	 Caffeine(mg) 	 Choline(mg) 
12.6	Evaporated milk/ coffee creamer  	Side A	Average	 100 	Gram	 100.00 	 139.00 	 52.59 	 19.58 	 4.94 	 7.14 	 -   	 -   	 -   	 -   	 7.14 	 3.79 	 -   	 -   	 -   	 5.84 	 2.18 	 3.29 	 0.09 	 0.08 	 9.67 	 50.44 	 79.67 	 22.00 	 0.67 	 21.33 	 8.00 	 0.02 	 0.11 	 0.06 	 0.57 	 0.02 	 0.05 	 -   	 0.63 	 2.00 	 0.03 	 0.32 	 2.67 	 2.67 	 1.03 	 0.21 	 90.00 	 -   	 0.01 	 0.00 	 -   	 0.07 	 8.00 	 0.00 	 -   	 89.00 	 164.67 	 1.13 	 57.67 	 0.26 	 0.03 	 0.06 	 -   	 -   	 10.43 
12.7	Arabic coffee	Side A	Average	 100 	Gram	 100.00 	 4.00 	 -   	 -   	 0.10 	 0.60 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 99.00 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
12.8	Soda Regular	Side A/ 1 can (330 mL)	Average	 100 	Gram	 100.00 	 40.92 	 0.23 	 -   	 -   	 9.64 	 -   	 -   	 -   	 -   	 11.88 	 4.33 	 -   	 -   	 0.06 	 0.03 	 -   	 -   	 -   	 -   	 -   	 36.69 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.10 	 -   	 0.00 	 -   	 -   	 0.00 	 -   	 -   	 -   	 2.41 	 1.95 	 0.01 	 10.00 	 0.01 	 -   	 -   	 -   	 1.97 	 0.03 
12.9	Soda Diet	Side A/ 1 can (330 mL)	Average	 100 	Gram	 100.00 	 0.67 	 0.09 	 -   	 0.04 	 0.10 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.10 	 0.01 	 -   	 -   	 -   	 -   	 -   	 33.18 	 -   	 -   	 -   	 -   	 -   	 -   	 0.01 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 1.00 	 -   	 -   	 -   	 -   	 0.04 	 0.33 	 -   	 -   	 3.00 	 2.67 	 -   	 6.90 	 0.00 	 -   	 -   	 -   	 4.00 	 -   
12.10	Energy drink	Side A/ 1 can (330 mL)	Average	 100 	Gram	 100.00 	 44.04 	 -   	 -   	 0.37 	 10.75 	 -   	 -   	 -   	 -   	 10.46 	 10.46 	 -   	 -   	 0.29 	 -   	 -   	 -   	 -   	 -   	 -   	 44.61 	 -   	 -   	 -   	 -   	 -   	 0.02 	 0.05 	 8.86 	 8.86 	 2.10 	 2.00 	 -   	 0.15 	 -   	 -   	 -   	 -   	 -   	 -   	 0.99 	 3.00 	 -   	 -   	 -   	 -   	 0.03 	 9.50 	 -   	 -   	 -   	 1.50 	 0.10 	 33.50 	 0.01 	 -   	 -   	 -   	 30.56 	 0.15 
12.11	Diet energy drinks	Side A/ 1 can (330 mL)	Average	 100 	Gram	 100.00 	 5.00 	 0.72 	 -   	 0.25 	 0.70 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.70 	 0.08 	 -   	 -   	 -   	 -   	 -   	 98.35 	 -   	 -   	 -   	 -   	 -   	 0.02 	 0.57 	 8.50 	 8.50 	 1.99 	 1.99 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 1.90 	 13.00 	 -   	 -   	 -   	 -   	 0.02 	 3.00 	 -   	 -   	 -   	 3.00 	 0.20 	 83.00 	 -   	 -   	 -   	 -   	 30.00 	 -   
13	Honey, Jam, Molasses, Halawah and added sugar																																																																	
13.1	Jam	Side A	Average	 100 	Gram	 100.00 	 278.00 	 0.63 	 0.09 	 0.37 	 68.86 	 1.10 	 -   	 -   	 -   	 48.50 	 48.50 	 -   	 -   	 19.26 	 0.07 	 0.01 	 0.04 	 -   	 -   	 -   	 30.47 	 -   	 -   	 -   	 -   	 -   	 0.02 	 0.08 	 0.04 	 0.04 	 0.02 	 -   	 -   	 8.80 	 -   	 -   	 0.12 	 11.00 	 11.00 	 -   	 -   	 20.00 	 -   	 0.10 	 -   	 -   	 0.49 	 4.00 	 -   	 -   	 19.00 	 77.00 	 2.00 	 32.00 	 0.06 	 -   	 -   	 -   	 -   	 10.20 
13.2	Honey, molasses, maple syrup 	Side A	Average	 100 	Gram	 100.00 	 289.50 	 0.36 	 0.06 	 0.16 	 76.64 	 0.10 	 -   	 0.10 	 -   	 74.86 	 74.85 	 20.48 	 15.16 	 1.69 	 0.04 	 0.01 	 0.01 	 0.02 	 -   	 -   	 22.12 	 -   	 -   	 -   	 -   	 -   	 0.03 	 0.34 	 0.31 	 0.33 	 0.18 	 -   	 -   	 0.25 	 -   	 -   	 -   	 1.00 	 1.00 	 -   	 0.23 	 79.75 	 0.62 	 0.15 	 0.00 	 0.15 	 1.42 	 66.75 	 1.13 	 -   	 10.25 	 445.00 	 5.00 	 14.25 	 0.55 	 -   	 0.02 	 -   	 -   	 4.83 
13.4	Halwa, rahash	Side A	Average	 100 	Gram	 100.00 	 521.00 	 288.36 	 50.43 	 7.98 	 57.36 	 4.48 	 -   	 4.48 	 -   	 52.88 	 52.88 	 -   	 -   	 -   	 32.04 	 5.60 	 10.75 	 14.09 	 -   	 -   	 1.47 	 -   	 1.00 	 -   	 -   	 16.00 	 0.27 	 0.04 	 2.26 	 2.26 	 0.16 	 -   	 -   	 -   	 -   	 -   	 3.48 	 45.00 	 45.00 	 2.00 	 -   	 24.00 	 -   	 0.55 	 -   	 -   	 2.51 	 135.00 	 -   	 -   	 260.00 	 145.00 	 13.70 	 19.00 	 2.63 	 0.12 	 13.97 	 -   	 -   	 10.00 
13.5	Sugar (added to drinks mainly) 	Side A	Average	 100 	Gram	 100.00 	 193.50 	 -   	 -   	 -   	 62.49 	 -   	 -   	 -   	 -   	 58.40 	 49.90 	 -   	 49.90 	 0.09 	 -   	 -   	 -   	 -   	 -   	 -   	 0.01 	 -   	 -   	 -   	 -   	 -   	 -   	 0.01 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.50 	 0.25 	 0.01 	 -   	 0.05 	 0.03 	 -   	 -   	 -   	 -   	 1.00 	 0.30 	 3.00 	 0.01 	 -   	 -   	 -   	 -   	 -   
15	FATS AND OILS (ADDED ON BREADS)																																																																	
15.1	Butter/ghee (including added to rice/traditional dishes- not during cooking )	Side A	Average	 100 	Gram	 100.00 	 722.25 	 722.25 	 316.05 	 0.37 	 0.40 	 -   	 -   	 -   	 -   	 0.02 	 -   	 -   	 -   	 0.38 	 81.59 	 35.12 	 28.82 	 14.23 	 4.54 	 118.00 	 16.76 	 1,517.50 	 790.50 	 32.00 	 757.75 	 392.75 	 0.01 	 0.03 	 0.02 	 0.07 	 0.71 	 0.08 	 -   	 0.08 	 37.00 	 0.93 	 8.05 	 1.25 	 1.25 	 51.95 	 0.03 	 11.75 	 0.40 	 0.01 	 -   	 -   	 0.03 	 1.75 	 -   	 -   	 11.25 	 18.50 	 0.25 	 364.50 	 0.03 	 1.81 	 12.42 	 -   	 -   	 16.08 
15.2	Mayonnaise, ranch dressing, 1000 thousand islands	Side A	Average	 100 	Gram	 100.00 	 385.67 	 345.83 	 80.14 	 1.86 	 8.90 	 0.35 	 -   	 0.24 	 -   	 4.76 	 1.47 	 2.19 	 1.19 	 3.78 	 38.43 	 8.90 	 11.55 	 15.77 	 0.06 	 34.73 	 48.20 	 202.00 	 72.59 	 19.11 	 58.25 	 165.92 	 0.15 	 0.06 	 0.21 	 0.24 	 0.05 	 0.07 	 -   	 0.67 	 1.73 	 0.05 	 3.68 	 6.42 	 6.42 	 79.97 	 0.14 	 50.92 	 0.13 	 0.07 	 -   	 1.24 	 0.63 	 12.25 	 0.08 	 -   	 68.50 	 86.08 	 2.78 	 892.33 	 0.38 	 1.90 	 13.85 	 -   	 -   	 13.19 
15.3	Olive oil	Side A	Average	 100 	Gram	 100.00 	 884.00 	 884.00 	 124.27 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 100.00 	 13.81 	 72.96 	 10.52 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 14.35 	 -   	 -   	 60.20 	 -   	 1.00 	 -   	 -   	 -   	 0.30 	 0.56 	 -   	 -   	 -   	 -   	 1.00 	 -   	 2.00 	 -   	 0.76 	 9.76 	 -   	 -   	 0.30 
15.4	Tahini	Side A	Average	 100 	Gram	 100.00 	 399.34 	 303.05 	 42.41 	 12.04 	 18.75 	 3.19 	 -   	 2.35 	 -   	 4.17 	 -   	 -   	 -   	 -   	 33.67 	 4.71 	 12.68 	 14.78 	 -   	 -   	 1.50 	 33.50 	 1.68 	 3.35 	 -   	 -   	 0.80 	 0.06 	 2.82 	 2.82 	 0.08 	 -   	 -   	 2.10 	 -   	 -   	 -   	 49.00 	 49.00 	 -   	 -   	 93.84 	 -   	 0.81 	 -   	 -   	 3.05 	 47.50 	 -   	 -   	 395.00 	 324.84 	 17.20 	 747.50 	 2.31 	 0.20 	 11.41 	 -   	 -   	 -   
15.5	Vegetable oil (Sunflower oil, corn oil, canola oil) 	Side A	Average	 100 	Gram	 100.00 	 889.67 	 889.67 	 107.16 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 100.00 	 11.91 	 36.59 	 47.68 	 0.11 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 16.71 	 -   	 -   	 35.33 	 -   	 -   	 -   	 -   	 -   	 -   	 0.03 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 2.81 	 44.86 	 -   	 -   	 0.20 
15.6	Olives	1 medium olive	Average	 100 	Gram	 100.00 	 125.33 	 110.70 	 17.17 	 0.90 	 5.38 	 2.70 	 0.05 	 2.70 	 0.05 	 0.18 	 -   	 -   	 -   	 2.50 	 12.30 	 1.91 	 8.95 	 0.95 	 -   	 -   	 78.42 	 134.33 	 19.05 	 13.43 	 -   	 222.00 	 0.01 	 0.00 	 0.11 	 0.11 	 0.02 	 -   	 -   	 0.60 	 -   	 -   	 2.37 	 1.00 	 1.00 	 1.40 	 0.00 	 76.00 	 -   	 0.21 	 -   	 0.87 	 3.36 	 6.33 	 0.01 	 -   	 3.33 	 19.33 	 0.90 	 1,008.67 	 0.16 	 0.05 	 0.90 	 -   	 -   	 11.60 
16	FATS AND OILS (USED IN cooking and FRYING)																																																																	
16.1	Butter/animal ghee	Side A	Average	 100 	Gram	 100.00 	 770.00 	 770.00 	 491.34 	 0.66 	 0.04 	 -   	 -   	 -   	 -   	 0.04 	 -   	 -   	 -   	 -   	 87.23 	 54.59 	 24.39 	 3.25 	 1.09 	 228.67 	 11.45 	 833.00 	 736.00 	 8.67 	 722.00 	 169.67 	 -   	 0.02 	 0.03 	 0.09 	 -   	 0.12 	 -   	 -   	 -   	 -   	 2.48 	 2.00 	 2.00 	 7.53 	 0.04 	 17.33 	 0.40 	 0.01 	 -   	 -   	 0.01 	 1.33 	 -   	 -   	 17.00 	 17.67 	 0.67 	 218.67 	 0.06 	 0.98 	 2.27 	 -   	 -   	 19.97 
16.2	Olive oil	Side A	Average	 100 	Gram	 100.00 	 884.00 	 884.00 	 124.27 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 100.00 	 13.81 	 72.96 	 10.52 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 14.35 	 -   	 -   	 60.20 	 -   	 1.00 	 -   	 -   	 -   	 0.30 	 0.56 	 -   	 -   	 -   	 -   	 1.00 	 -   	 2.00 	 -   	 0.76 	 9.76 	 -   	 -   	 0.30 
16.3	Vegetable ghee	Side A	Average	 100 	Gram	 100.00 	 916.50 	 900.00 	 371.25 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 100.00 	 41.25 	 16.25 	 3.25 	 3.50 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
16.4	Vegetable oil (Sunflower oil, corn oil, canola oil)	Side A	Average	 100 	Gram	 100.00 	 889.67 	 889.67 	 107.16 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 100.00 	 11.91 	 36.59 	 47.68 	 0.11 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 16.71 	 -   	 -   	 35.33 	 -   	 -   	 -   	 -   	 -   	 -   	 0.03 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 2.81 	 44.86 	 -   	 -   	 0.20 
16.5	Cooking cream (as part of dishes)	Side A	Average	 100 	Gram	 100.00 	 228.33 	 176.88 	 120.21 	 2.84 	 5.33 	 0.07 	 -   	 0.07 	 -   	 1.54 	 -   	 -   	 -   	 1.46 	 19.65 	 13.36 	 0.93 	 0.47 	 0.15 	 7.93 	 25.18 	 -   	 45.00 	 -   	 43.67 	 13.33 	 0.03 	 0.05 	 0.14 	 0.14 	 0.06 	 0.14 	 -   	 0.03 	 16.00 	 0.40 	 0.32 	 3.00 	 4.07 	 1.63 	 -   	 73.67 	 -   	 0.00 	 -   	 -   	 0.09 	 4.33 	 -   	 -   	 35.00 	 52.00 	 1.30 	 110.37 	 0.15 	 0.05 	 0.42 	 -   	 -   	 5.80 
17	Condiments																																																																	
17.1	Ketchup, Mustard, BBQ sauce	Side A	Average	 100 	Gram	 100.00 	 140.20 	 68.29 	 9.97 	 2.45 	 16.16 	 0.95 	 0.01 	 0.76 	 -   	 11.27 	 4.24 	 7.15 	 0.58 	 1.84 	 7.59 	 1.11 	 1.03 	 0.83 	 -   	 9.10 	 49.18 	 387.44 	 19.74 	 38.74 	 1.80 	 184.30 	 0.04 	 0.08 	 0.64 	 0.66 	 0.11 	 0.01 	 -   	 10.69 	 1.20 	 0.03 	 0.96 	 6.90 	 6.90 	 3.86 	 0.08 	 19.40 	 1.85 	 0.04 	 0.00 	 0.43 	 0.68 	 18.20 	 0.05 	 -   	 42.40 	 162.70 	 4.78 	 261,444.30 	 0.25 	 0.14 	 0.69 	 -   	 -   	 10.44 
17.2	Salt shaker use (at the table)	Number of shakes 	Average	 100 	Gram	 100.00 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.20 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 24.00 	 1.00 	 0.03 	 -   	 5,070.00 	 0.33 	 1.00 	 0.10 	 -   	 -   	 8.00 	 0.10 	 38,758.00 	 0.10 	 -   	 -   	 -   	 -   	 -   
17.3	Pickles 	1 M. cucumber/Side A	Average	 100 	Gram	 100.00 	 54.34 	 30.39 	 1.03 	 1.06 	 6.48 	 1.97 	 0.00 	 1.87 	 0.00 	 2.33 	 0.97 	 0.21 	 -   	 0.18 	 3.38 	 0.12 	 0.11 	 0.57 	 -   	 -   	 73.67 	 81.80 	 42.89 	 8.18 	 -   	 427.80 	 0.03 	 0.08 	 0.42 	 0.44 	 0.08 	 -   	 -   	 8.82 	 -   	 -   	 0.16 	 18.00 	 18.00 	 23.94 	 0.05 	 33.80 	 -   	 0.11 	 0.01 	 0.14 	 2.41 	 18.20 	 0.01 	 -   	 16.40 	 139.42 	 0.16 	 1,188.79 	 0.17 	 0.06 	 0.05 	 -   	 -   	 7.46 
